INFO 2021-06-08 09:27:21,478 basehttp 161 "OPTIONS /api/v1/contests/ HTTP/1.1" 200 5923
INFO 2021-06-08 09:27:22,669 basehttp 161 "GET /api/v1/contests/ HTTP/1.1" 200 6742
WARNING 2021-06-08 09:27:30,294 log 230 Not Found: /api/v1/contest
WARNING 2021-06-08 09:27:30,296 basehttp 161 "GET /api/v1/contest HTTP/1.1" 404 12639
INFO 2021-06-08 09:28:06,305 basehttp 161 "GET /api/v1/contest/2/info HTTP/1.1" 301 0
WARNING 2021-06-08 09:28:06,362 log 230 Method Not Allowed: /api/v1/contest/2/info/
WARNING 2021-06-08 09:28:06,362 basehttp 161 "GET /api/v1/contest/2/info/ HTTP/1.1" 405 5954
INFO 2021-06-08 09:28:06,401 basehttp 161 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2021-06-08 09:28:06,402 basehttp 161 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2021-06-08 09:28:06,402 basehttp 161 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2021-06-08 09:28:06,414 basehttp 161 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2021-06-08 09:28:06,431 basehttp 161 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2021-06-08 09:28:06,432 basehttp 161 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2021-06-08 09:28:06,437 basehttp 161 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2021-06-08 09:28:06,440 basehttp 161 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2021-06-08 09:28:06,444 basehttp 161 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 304 0
INFO 2021-06-08 09:28:06,446 basehttp 161 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2021-06-08 09:28:06,455 basehttp 161 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
WARNING 2021-06-08 09:28:12,692 log 230 Method Not Allowed: /api/v1/contest/2/info/
WARNING 2021-06-08 09:28:12,693 basehttp 161 "GET /api/v1/contest/2/info/ HTTP/1.1" 405 5954
INFO 2021-06-08 09:30:08,228 basehttp 161 "GET /admin/ HTTP/1.1" 302 0
INFO 2021-06-08 09:30:08,246 basehttp 161 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2216
INFO 2021-06-08 09:30:08,266 basehttp 161 "GET /static/admin/css/base.css HTTP/1.1" 200 19513
INFO 2021-06-08 09:30:08,275 basehttp 161 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 1360
INFO 2021-06-08 09:30:08,281 basehttp 161 "GET /static/admin/css/login.css HTTP/1.1" 200 939
INFO 2021-06-08 09:30:08,281 basehttp 161 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2271
INFO 2021-06-08 09:30:08,283 basehttp 161 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18545
INFO 2021-06-08 09:30:08,313 basehttp 161 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2021-06-08 09:30:08,336 basehttp 161 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2021-06-08 09:30:08,345 basehttp 161 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2021-06-08 11:47:49,017 basehttp 161 "GET /api/v1/problems/ HTTP/1.1" 200 52
INFO 2021-06-08 11:47:49,017 basehttp 161 "GET /api/v1/contests/ HTTP/1.1" 200 52
INFO 2021-06-08 11:47:55,127 basehttp 161 "GET /api/v1/problems/ HTTP/1.1" 200 52
INFO 2021-06-08 11:47:55,127 basehttp 161 "GET /api/v1/contests/ HTTP/1.1" 200 52
INFO 2021-06-08 11:51:52,268 basehttp 161 "OPTIONS /api-token-auth/ HTTP/1.1" 200 0
INFO 2021-06-08 11:51:52,459 basehttp 161 "POST /api-token-auth/ HTTP/1.1" 200 204
INFO 2021-06-08 11:51:53,068 basehttp 161 "OPTIONS /api/v1/user/ HTTP/1.1" 200 0
INFO 2021-06-08 11:51:53,146 basehttp 161 "GET /api/v1/contests/ HTTP/1.1" 200 52
INFO 2021-06-08 11:51:53,146 basehttp 161 "GET /api/v1/problems/ HTTP/1.1" 200 52
INFO 2021-06-08 11:51:53,150 basehttp 161 "GET /api/v1/user/ HTTP/1.1" 200 246
INFO 2021-06-08 11:51:53,221 basehttp 161 "GET /api/v1/user/ HTTP/1.1" 200 246
INFO 2021-06-08 11:51:57,371 basehttp 161 "GET /api/v1/user/ HTTP/1.1" 200 246
INFO 2021-06-08 11:52:03,784 basehttp 161 "GET /api/v1/problems/ranking HTTP/1.1" 301 0
INFO 2021-06-08 11:52:03,814 basehttp 161 "GET /api/v1/problems/ HTTP/1.1" 200 52
INFO 2021-06-08 11:52:03,819 basehttp 161 "GET /api/v1/contests/ HTTP/1.1" 200 52
INFO 2021-06-08 11:52:03,850 basehttp 161 "GET /api/v1/problems/?page=1&page_size=10&ordering=id&alg=&ds=&firm=&header= HTTP/1.1" 200 52
INFO 2021-06-08 11:52:03,863 basehttp 161 "GET /api/v1/user/ HTTP/1.1" 200 246
INFO 2021-06-08 11:52:03,865 basehttp 161 "GET /api/v1/problems/ranking/ HTTP/1.1" 200 2
